example_id                                          | status | run_time        |
./spec/models/task_spec.rb[1:1:2]                   | passed | 0.00202 seconds |
./spec/models/task_spec.rb[1:1:3]                   | passed | 0.00179 seconds |
./spec/models/task_spec.rb[1:1:4]                   | passed | 0.0013 seconds  |
./spec/models/task_spec.rb[1:1:5]                   | passed | 0.00202 seconds |
./spec/models/task_spec.rb[1:1:6]                   | passed | 0.00194 seconds |
./spec/models/task_spec.rb[1:2:1]                   | passed | 0.00129 seconds |
./spec/models/task_spec.rb[1:2:2]                   | passed | 0.00146 seconds |
./spec/models/task_spec.rb[1:3:1:1]                 | passed | 0.00748 seconds |
./spec/models/task_spec.rb[1:3:2:1]                 | passed | 0.00762 seconds |
./spec/models/task_spec.rb[1:3:3:1]                 | passed | 0.00785 seconds |
./spec/models/task_spec.rb[1:3:4:1]                 | passed | 0.00932 seconds |
./spec/models/task_spec.rb[1:3:5:1]                 | passed | 0.00829 seconds |
./spec/models/task_spec.rb[1:4:1:1]                 | passed | 0.003 seconds   |
./spec/models/task_spec.rb[1:4:1:2]                 | passed | 0.00282 seconds |
./spec/models/task_spec.rb[1:4:1:3]                 | passed | 0.00205 seconds |
./spec/models/task_spec.rb[1:4:2:1]                 | passed | 0.0045 seconds  |
./spec/models/task_spec.rb[1:4:2:2]                 | passed | 0.00945 seconds |
./spec/models/task_spec.rb[1:4:3:1]                 | passed | 0.00237 seconds |
./spec/models/task_spec.rb[1:4:3:2]                 | passed | 0.00197 seconds |
./spec/models/task_spec.rb[1:4:4:1:1]               | passed | 0.00372 seconds |
./spec/models/task_spec.rb[1:4:4:1:2]               | passed | 0.00272 seconds |
./spec/models/task_spec.rb[1:4:4:1:3]               | passed | 0.00328 seconds |
./spec/models/task_spec.rb[1:4:4:2:1]               | passed | 0.00217 seconds |
./spec/models/task_spec.rb[1:4:4:2:2]               | passed | 0.00216 seconds |
./spec/models/task_spec.rb[1:4:4:2:3]               | passed | 0.00208 seconds |
./spec/models/task_spec.rb[1:4:4:3:1]               | passed | 0.0022 seconds  |
./spec/models/task_spec.rb[1:4:4:3:2]               | passed | 0.00253 seconds |
./spec/models/task_spec.rb[1:4:4:3:3]               | passed | 0.00399 seconds |
./spec/models/task_spec.rb[1:4:5:1]                 | passed | 0.00566 seconds |
./spec/models/task_spec.rb[1:4:5:2]                 | passed | 0.00758 seconds |
./spec/models/task_spec.rb[1:4:5:3]                 | passed | 0.00887 seconds |
./spec/models/task_spec.rb[1:4:5:4]                 | passed | 0.00407 seconds |
./spec/models/task_spec.rb[1:5:1:1]                 | passed | 0.67808 seconds |
./spec/models/task_spec.rb[1:5:1:2]                 | passed | 0.00388 seconds |
